model,MAE,RMSE,R2
RandomForest,285.2538430141169,457.36436258759204,0.5965240771845853
Tuned_GradientBoosting,304.0818617617736,466.7900962668602,0.5797223972216927
GradientBoosting,311.31672409957804,475.9944924870948,0.5629845052647799
SVR_RBF_log_y,294.41002423118437,496.7757503150432,0.5239925433527605
Ridge_log_y,368.0621755876874,593.2466598987788,0.3211660042345854
DummyMean,511.7293337491639,723.0542079154258,-0.008404316093257647
