model,Accuracy,Precision,Recall,F1,ROC_AUC
SVC_RBF,0.6616915422885572,0.5232558139534884,0.625,0.569620253164557,0.7111864771748493
GradientBoosting,0.7412935323383084,0.7272727272727273,0.4444444444444444,0.5517241379310345,0.7396640826873383
Tuned_GradientBoosting,0.736318407960199,0.7209302325581395,0.4305555555555556,0.5391304347826087,0.7439707149009475
LogisticRegression,0.6268656716417911,0.48314606741573035,0.5972222222222222,0.5341614906832298,0.663921188630491
RandomForest,0.6865671641791045,0.5714285714285714,0.5,0.5333333333333333,0.7386412575366063
DummyMostFrequent,0.6417910447761194,0.0,0.0,0.0,0.5
