,count,mean,std,min,25%,50%,75%,max
VSA_EState9,1001.0,0.5644551448549451,1.68408084984044,-7.681287462,0.0,0.0,0.0,10.18361802
FractionCSP3,1001.0,0.5425185648360539,0.3105841965607916,0.0,0.2777777778,0.5555555556,0.8571428571,1.0
HeavyAtomCount,1001.0,24.652347652347654,9.069124377965988,8.0,19.0,22.0,29.0,63.0
NHOHCount,1001.0,1.3176823176823176,1.704399314414619,0.0,0.0,1.0,2.0,15.0
NOCount,1001.0,4.687312687312687,3.203299684876342,0.0,2.0,4.0,6.0,25.0
NumAliphaticCarbocycles,1001.0,1.2267732267732268,1.4551709444331542,0.0,0.0,1.0,2.0,7.0
NumAliphaticHeterocycles,1001.0,0.8621378621378621,1.0396994878208918,0.0,0.0,1.0,2.0,6.0
NumAliphaticRings,1001.0,2.088911088911089,1.3605465494009799,0.0,1.0,2.0,3.0,7.0
NumAromaticCarbocycles,1001.0,0.961038961038961,0.9967349293972392,0.0,0.0,1.0,2.0,4.0
NumAromaticHeterocycles,1001.0,0.5124875124875125,0.7253233114231928,0.0,0.0,0.0,1.0,5.0
NumAromaticRings,1001.0,1.4735264735264735,1.3933945785557122,0.0,0.0,1.0,2.0,7.0
NumHAcceptors,1001.0,4.338661338661339,3.206274131479373,0.0,2.0,4.0,5.0,25.0
NumHDonors,1001.0,1.1818181818181819,1.5889962526416137,0.0,0.0,1.0,2.0,15.0
NumHeteroatoms,1001.0,5.588411588411589,3.5128941877639264,0.0,3.0,5.0,7.0,25.0
NumRotatableBonds,1001.0,3.838161838161838,3.262787491974035,0.0,2.0,3.0,5.0,28.0
NumSaturatedCarbocycles,1001.0,0.965034965034965,1.367397609978979,0.0,0.0,0.0,2.0,6.0
NumSaturatedHeterocycles,1001.0,0.5274725274725275,0.7959236806971542,0.0,0.0,0.0,1.0,6.0
NumSaturatedRings,1001.0,1.4925074925074926,1.359482918684088,0.0,0.0,1.0,2.0,7.0
RingCount,1001.0,3.5624375624375624,1.5749119506650688,0.0,2.0,3.0,4.0,9.0
MolLogP,1001.0,3.4373268731268727,2.14270589107346,-5.7507,2.4492,3.4236,4.5278,12.8222
MolMR,1001.0,94.18904055944057,34.43281775060434,28.0885,72.0084,85.6435,109.3685,236.2534
fr_Al_COO,1001.0,0.055944055944055944,0.22992853860957074,0.0,0.0,0.0,0.0,1.0
fr_Al_OH,1001.0,0.4035964035964036,1.0406474200934015,0.0,0.0,0.0,0.0,12.0
fr_Al_OH_noTert,1001.0,0.3106893106893107,0.9961805179663094,0.0,0.0,0.0,0.0,12.0
fr_ArN,1001.0,0.014985014985014986,0.12951920620211033,0.0,0.0,0.0,0.0,2.0
fr_Ar_COO,1001.0,0.000999000999000999,0.0316069770620507,0.0,0.0,0.0,0.0,1.0
fr_Ar_N,1001.0,0.5934065934065934,1.2607602799566948,0.0,0.0,0.0,1.0,12.0
fr_Ar_NH,1001.0,0.03596403596403597,0.18629357129352242,0.0,0.0,0.0,0.0,1.0
fr_Ar_OH,1001.0,0.18981018981018982,0.7667698898209709,0.0,0.0,0.0,0.0,8.0
fr_COO,1001.0,0.056943056943056944,0.23184961883567065,0.0,0.0,0.0,0.0,1.0
fr_COO2,1001.0,0.056943056943056944,0.23184961883567065,0.0,0.0,0.0,0.0,1.0
fr_C_O,1001.0,0.8131868131868132,1.0080009593576458,0.0,0.0,1.0,1.0,5.0
fr_C_O_noCOO,1001.0,0.7562437562437563,0.9233219787936798,0.0,0.0,1.0,1.0,5.0
fr_C_S,1001.0,0.04295704295704296,0.20286164534688944,0.0,0.0,0.0,0.0,1.0
fr_HOCCN,1001.0,0.000999000999000999,0.031606977062050706,0.0,0.0,0.0,0.0,1.0
fr_Imine,1001.0,0.16483516483516483,0.4402297102674896,0.0,0.0,0.0,0.0,2.0
fr_NH0,1001.0,1.3086913086913088,1.6375635516261302,0.0,0.0,1.0,2.0,12.0
fr_NH1,1001.0,0.3886113886113886,0.6031833633565914,0.0,0.0,0.0,1.0,3.0
fr_NH2,1001.0,0.13386613386613386,0.343601423253656,0.0,0.0,0.0,0.0,2.0
fr_N_O,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_Ndealkylation1,1001.0,0.07392607392607392,0.3041865719085419,0.0,0.0,0.0,0.0,2.0
fr_Ndealkylation2,1001.0,0.08191808191808192,0.29203204838290825,0.0,0.0,0.0,0.0,2.0
fr_Nhpyrrole,1001.0,0.03596403596403597,0.18629357129352242,0.0,0.0,0.0,0.0,1.0
fr_SH,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_aldehyde,1001.0,0.002997002997002997,0.054690117855138984,0.0,0.0,0.0,0.0,1.0
fr_alkyl_carbamate,1001.0,0.011988011988011988,0.10888592129446238,0.0,0.0,0.0,0.0,1.0
fr_alkyl_halide,1001.0,0.3946053946053946,1.0941347582134795,0.0,0.0,0.0,0.0,9.0
fr_allylic_oxid,1001.0,0.33466533466533466,0.7955420245889672,0.0,0.0,0.0,0.0,8.0
fr_amide,1001.0,0.34065934065934067,0.7005962923361534,0.0,0.0,0.0,0.0,4.0
fr_amidine,1001.0,0.007992007992007992,0.08908458865630989,0.0,0.0,0.0,0.0,1.0
fr_aniline,1001.0,0.2987012987012987,0.6585501588249081,0.0,0.0,0.0,0.0,4.0
fr_aryl_methyl,1001.0,0.16383616383616384,0.42323854872975486,0.0,0.0,0.0,0.0,3.0
fr_azide,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_azo,1001.0,0.006993006993006993,0.08337295095562439,0.0,0.0,0.0,0.0,1.0
fr_barbitur,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_benzene,1001.0,0.961038961038961,0.9967349293972392,0.0,0.0,1.0,2.0,4.0
fr_benzodiazepine,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_bicyclic,1001.0,1.4545454545454546,1.4311470288484751,0.0,0.0,1.0,2.0,7.0
fr_diazo,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_dihydropyridine,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_epoxide,1001.0,0.004995004995004995,0.08351661496387995,0.0,0.0,0.0,0.0,2.0
