model,Accuracy,Precision,Recall,F1,ROC_AUC
GradientBoosting,0.7164179104477612,0.6747967479674797,0.83,0.7443946188340808,0.7744059405940594
Tuned_GradientBoosting,0.7014925373134329,0.6612903225806451,0.82,0.7321428571428571,0.7298019801980198
SVC_RBF,0.7014925373134329,0.6724137931034483,0.78,0.7222222222222222,0.7596534653465347
RandomForest,0.6965174129353234,0.6666666666666666,0.78,0.7188940092165899,0.7568811881188119
LogisticRegression,0.681592039800995,0.6578947368421053,0.75,0.7009345794392523,0.7484653465346535
DummyMostFrequent,0.5024875621890548,0.0,0.0,0.0,0.5
