MAE,RMSE,R2,n_estimators,learning_rate,max_depth
299.6229195493742,398.7092300253646,0.4441559843134234,100,0.05,3
310.8811166857504,399.98184014346333,0.44060200778073866,80,0.08,2
324.8286745668961,410.04744108675055,0.4120930866920768,100,0.05,2
350.3487264444471,433.5835254653764,0.3426662975850987,60,0.05,2
