Accuracy,F1,Precision,Recall,n_estimators,learning_rate,max_depth
0.69,0.7129629629629629,0.6637931034482759,0.77,60,0.05,1
0.695,0.7109004739336493,0.6756756756756757,0.75,100,0.05,2
0.69,0.7075471698113207,0.6696428571428571,0.75,80,0.05,2
0.66,0.6730769230769231,0.6481481481481481,0.7,80,0.08,2
