n_estimators,learning_rate,max_depth,Accuracy,Precision,Recall,F1
100,0.05,2,0.705,0.7252747252747253,0.66,0.6910994764397905
80,0.05,2,0.675,0.6804123711340206,0.66,0.6700507614213198
80,0.08,2,0.67,0.6888888888888889,0.62,0.6526315789473685
60,0.05,1,0.64,0.6428571428571429,0.63,0.6363636363636364
