n_estimators,learning_rate,max_depth,Accuracy,Precision,Recall,F1
80,0.08,2,0.7,0.5873015873015873,0.5211267605633803,0.5522388059701493
80,0.05,2,0.705,0.603448275862069,0.49295774647887325,0.5426356589147286
100,0.05,2,0.705,0.603448275862069,0.49295774647887325,0.5426356589147286
60,0.05,1,0.67,0.5675675675675675,0.29577464788732394,0.3888888888888889
