n_estimators,learning_rate,max_depth,MAE,RMSE,R2
60,0.05,2,73.16609842545327,257.51301570558843,-5.86343744666219
100,0.05,2,73.54255160949684,270.87841728904834,-6.594376371549088
80,0.08,2,73.69758224060402,275.08311405759065,-6.831972869184033
100,0.05,3,75.32162411531539,279.17525214617274,-7.0667230026787
