task,model,MAE,RMSE,R2
"regression_IC50, mM",RandomForest,233.5415426810218,439.69457901946606,0.4203988085445378
"regression_IC50, mM",Tuned_GradientBoosting,237.285002718353,440.52381709641077,0.4182105596198774
"regression_IC50, mM",GradientBoosting,251.1927111018501,463.04553855155297,0.35720209105805967
"regression_IC50, mM",Ridge_log_y,223.67747605037468,480.8465740682319,0.3068294559035051
"regression_IC50, mM",DummyMean,315.18529460304956,584.9037125619288,-0.02564201444914893
