task,model,MAE,RMSE,R2,Accuracy,F1,Precision,Recall
"regression_IC50, mM",RandomForest,233.5415426810218,439.69457901946606,0.4203988085445378,,,,
"regression_CC50, mM",RandomForest,295.85589350088753,461.4015216180856,0.5893696692746868,,,,
regression_SI,RandomForest,192.52453790972777,1354.655774089591,0.08641868866932134,,,,
ic50_gt_median,Tuned_GradientBoosting,,,,0.7014925373134329,0.7321428571428571,0.6612903225806451,0.82
cc50_gt_median,RandomForest,,,,0.746268656716418,0.7582938388625592,0.7207207207207207,0.8
si_gt_median,Tuned_GradientBoosting,,,,0.6716417910447762,0.6373626373626373,0.7073170731707317,0.58
si_gt_8,RandomForest,,,,0.7014925373134329,0.5588235294117647,0.59375,0.5277777777777778
