n_estimators,learning_rate,max_depth,Accuracy,Precision,Recall,F1
80,0.08,2,0.755,0.7217391304347827,0.83,0.772093023255814
80,0.05,2,0.745,0.7130434782608696,0.82,0.7627906976744186
100,0.05,2,0.74,0.7068965517241379,0.82,0.7592592592592593
60,0.05,1,0.715,0.6837606837606838,0.8,0.7373271889400922
