model,Accuracy,Precision,Recall,F1,ROC_AUC
RandomForest,0.7412935323383084,0.7181818181818181,0.79,0.7523809523809524,0.842079207920792
SVC_RBF,0.7313432835820896,0.6949152542372882,0.82,0.7522935779816514,0.8326732673267326
LogisticRegression,0.7313432835820896,0.7090909090909091,0.78,0.7428571428571429,0.8334653465346535
GradientBoosting,0.7014925373134329,0.6785714285714286,0.76,0.7169811320754716,0.8234158415841585
Tuned_GradientBoosting,0.7014925373134329,0.6785714285714286,0.76,0.7169811320754716,0.8293564356435643
DummyMostFrequent,0.5024875621890548,0.0,0.0,0.0,0.5
