n_estimators,learning_rate,max_depth,MAE,RMSE,R2
100,0.05,3,172.94304332356398,260.2330835613786,0.35344114707124197
100,0.05,2,180.70194619552058,268.492109850511,0.31175018662072485
80,0.08,2,178.74925661309598,270.30337060195876,0.30243293192473986
60,0.05,2,184.88628279222874,272.64670010233533,0.2902857286000682
