model,Accuracy,Precision,Recall,F1,ROC_AUC
SVC_RBF,0.6567164179104478,0.6631578947368421,0.63,0.6461538461538462,0.7163861386138614
GradientBoosting,0.6666666666666666,0.7088607594936709,0.56,0.6256983240223464,0.6862376237623762
Tuned_GradientBoosting,0.6666666666666666,0.7088607594936709,0.56,0.6256983240223464,0.6862376237623762
LogisticRegression,0.6169154228855721,0.6095238095238096,0.64,0.624390243902439,0.6554950495049505
RandomForest,0.6517412935323383,0.6744186046511628,0.58,0.6236559139784946,0.6643069306930692
DummyMostFrequent,0.5024875621890548,0.0,0.0,0.0,0.5
